Original order,Case Number,Date,Year,Country,Area,Location,Injury,Fatal (Y/N),Investigator or Source,Date_propre
4271,2001.05.18,18-May-01,2001,PHILIPPINES,Zamboanga del Sur Province,nc.,Arm bitten PROVOKED INCIDENT,N,AFP,2001-05-18
4270,2001.05.11,11-May-01,2001,MADAGASCAR,nc.,Shipwrecked Ferry M/V Samsonnette,Fatal or drowned & remains scavenged by shark,Y,GDACS (Global Disaster Alert & Coordination System),2001-05-11
4269,2001.05.08,08-May-01,2001,SOUTH AFRICA,Eastern Cape Province,East London,Leg bitten,N,"East London Daily Dispatch, 5/9/2001",2001-05-08
4268,2001.05.04,04-May-01,2001,AUSTRALIA,New South Wales,Noraville,"Chest lacerated, surfboard bitten",N,"Newcastle Herald; Sunday Mail (QLD), 5/6/2001, p.46; Sunday Territorian, 5/6/2001, p.8",2001-05-04
4267,2001.05.03,03-May-01,2001,USA,Florida,"Jacksonville, Duval County",Foot lacerated,N,"J. Eager, scubaradio.com; J. Gaudin, GSAF",2001-05-03
4266,2001.05.00,May-01,2001,FIJI,Taveuni,nc.,FATAL,Y,FijiTV,2001-05-00
4265,2001.04.28,28-Apr-01,2001,USA,Florida,"New Smyrna Beach, Volusia County",4 small lacerations on lower right leg,N,"S. Petersohn, GSAF",2001-04-28
4264,2001.04.13.b,13-Apr-01,2001,USA,Florida,"New Smyrna Beach, Volusia County",Foot & ankle lacerated,N,"J. Eager, scubaradio.com; Orlando Sentinel, April 14, 2001, p.A1",2001-04-13
4263,2001.04.13.a,13-Apr-01,2001,USA,Florida,"New Smyrna Beach, Volusia County",Right foot & ankle lacerated,N,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1",2001-04-13
4262,2001.04.12.e,12-Apr-01,2001,USA,Florida,"Waveland Beach, Hutchinson Island, St Lucie County",Right ankle & lower leg lacerated,N,"M. Large, Stuart News, 4/13/2001 ",2001-04-12
4261,2001.04.12.d,12-Apr-01,2001,USA,Florida,"New Smyrna Beach, Volusia County",Foot & ankle lacerated,N,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1",2001-04-12
4260,2001.04.12.c,12-Apr-01,2001,USA,Florida,"New Smyrna Beach, Volusia County",Small cuts on big & pinky toes of left foot,N,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1",2001-04-12
4259,2001.04.12.b,12-Apr-01,2001,USA,Florida,"New Smyrna Beach, Volusia County",Foot & ankle lacerated,N,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1",2001-04-12
4258,2001.04.12.a,12-Apr-01,2001,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Foot lacerated,N,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1",2001-04-12
4257,2001.04.11.d,11-Apr-01,2001,USA,Florida,"New Smyrna Beach, Volusia County",Minor cuts on right heel & foot,N,"S. Petersohn, GSAF; scubaradio.com; Orlando Sentinel, 4/14/2001, p.A1",2001-04-11
4256,2001.04.11.c,11-Apr-01,2001,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Lacerations to top & bottom of left foot,N,"S. Petersohn, GSAF",2001-04-11
4255,2001.04.11.a,11-Apr-01,2001,USA,Hawaii,"Ewa Beach, O'ahu",Minor punctures & lacerations on left hand,N,Honolulu Star Bulletin,2001-04-11
4254,2001.04.10,10-Apr-01,2001,USA,Florida,"New Smyrna Beach, Volusia County",Foot lacerated,N,"Orlando Sentinel, 4/14/2001, p.A1",2001-04-10
4253,2001.04.08.b,08-Apr-01,2001,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,"Thigh, hip & buttock bitten",N,"M. Smale, P.E. Museum      ",2001-04-08
4252,2001.04.08.a,08-Apr-01,2001,AUSTRALIA,New South Wales,Bronte Beach,Wrist lacerated PROVOKED INCIDENT,N,"ABC News; Northern Territory News, 4/9/2001, p.2",2001-04-08
4251,2001.04.05,05-Apr-01,2001,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Minor lacerations to dorsum of left foot,N,"S. Petersohn, GSAF",2001-04-05
4250,2001.04.02.b,02-Ap-2001,2001,BRAZIL,Rio Grande de Norte,"Praia de Camapum, Macau",Left thigh bitten,N,M. Szpilman,2001-04-02
4249,2001.04.02.a,02-Apr-01,2001,AUSTRALIA,New South Wales,Nambucca River Entrance,Calf bitten,N,"T. Peake, GSAF",2001-04-02
4248,2001.03.23,23-Mar-01,2001,USA,Hawaii,"Sandy Beach, Oahu","Minor cuts on left hand, body board bitten",N,Hawaii Department of Land and Natural Resources,2001-03-23
4247,2001.03.09,09-Mar-01,2001,USA,Florida,"Coral Cove Park, Jupiter Island, Martin County",Fingers & hand lacerated,N,Shark Survivor. Inc.,2001-03-09
4246,2001.03.08,08-Mar-01,2001,BRAZIL,Bahia,Nova Vicosa,Lacerations below the knee,N,M. Szpilman,2001-03-08
4245,2001.03.03,03-Mar-01,2001,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",FATAL,Y,"JC, 3/7/2001; Orlando Sentinel, 3/9/2001, p.A13",2001-03-03
4244,2001.03.00,Mar-01,2001,CARIBBEAN SEA,nc.,Between St. Maarten & Anguilla,"Human remains recovered in shark caught off Anguilla, probable scavenging on drowned body",Y,"C. Johansson, GSAF",2001-03-00
4243,2001.02.26,26-Feb-01,2001,AUSTRALIA,Western Australia,Albany (incident took place 200 metres from swimmers),No injury to occupants,N,Illwara Mercury,2001-02-26
4242,2001.02.11,11-Feb-01,2001,MALAYSIA,Off the western coast of peninsular Malaysia,Pulau Pangkor (Pangkor Island),Bones recovered by fishermen in 300-kg [662-lb] white sharks gut,Y,Associated Press,2001-02-11
4241,2001.02.04,04-Feb-01,2001,AUSTRALIA,New South Wales,Broome Head,Leg bitten,N,"Daily Dispatch, 2/6/2001",2001-02-04
4240,2001.01.24.R,Reported  24-Jan-2001,2001,AUSTRALIA,New South Wales,South West Rocks,"No injury, shark ramme d & bit kayak",N,"Daily Telegraph 1/24/2001, p.19",2001-01-24
4239,2001.01.24,24-Jan-01,2001,CUBA,Holquin Province,Off Blau Costa Verde resort,Left arm bitten,N,"Trip Advisor, et al.",2001-01-24
4238,2001.01.21 ,21-Jan-01,2001,AUSTRALIA,South Australia,Adelaide,No injury to occupants,N,"Northern Territory News, 1/22/2001, p.8",2001-01-21 
4237,2001.01.09,09-Jan-01,2001,USA,California,"Sunset Cliffs, San Diego","Foot bruised, board dinged",N,M. Sanders,2001-01-09
4236,2001.01.06,06-Jan-01,2001,NEW ZEALAND,North Island,Sandy Bay/Whananaki,"No injury, kayak bitten",N,C. Duffy,2001-01-06
4235,2000.12.24,24-Dec-00,2000,AUSTRALIA,Queensland,Flinders Cay,Hand bitten,N,"Daily Telegraph, 12/26/2000, p.7",2000-12-24
4234,2000.12.12,12-Dec-00,2000,FIJI,Taveuni,Garden Island Resort,"FATAL, leg severed",Y,multiple internet sources,2000-12-12
4233,2000.12.11,11-Dec-00,2000,AUSTRALIA,South Australia,"3 km off Port Victoria, Yorke Peninsula",No injury to occupants,N,"The Dominion, 12/13/2000; Northern Territory News, 12/13/2000, p.9",2000-12-11
4232,2000.12.05,05-Dec-00,2000,CANADA,New Brunswick,Bay of Fundy,No injury,N,"A. Martin; Telegraph-Journal,  12/8/2000",2000-12-05
4231,2000.12.03,03-Dec-00,2000,AUSTRALIA,Queensland,"Sykes Reef, Great Barrier Reef",Left elbow and forearm bitten,N,"N. Leys; Daily Telegraph, 12/4/2000.p.3",2000-12-03
4230,2000.12.00,Dec-00,2000,NEW ZEALAND,Cook Islands,"Arorangi, Rarotonga",FATAL,Y,"C. Tini, R.D. Weeks, GSAF",2000-12-00
4229,2000.11.21,21-Nov-00,2000,AUSTRALIA,Queensland,Orpheus Island,"No injury, wetsuit & swimfin torn",N,"Courier-Mail, 11/24/2000, p.3",2000-11-21
4228,2000.11.20,20-Nov-00,2000,AUSTRALIA,South Australia,Ceduna,"Missing, thought to have been taken by a shark",Y,"T. Peake, GSAF",2000-11-20
4227,2000.11.18,17-Nov-00,2000,USA,Florida,"Bonita Springs, Lee County",Right calf lacerated,N,"South Florida Sun Sentinel, 11/19/2000, p.6B",2000-11-18
4226,2000.11.10,10-Nov-00,2000,USA,Florida,"Vaughn Beach, Flagler County",No injury,N,E. Skeie,2000-11-10
4225,2000.11.06.b,06-Nov-00,2000,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Leg & feet lacerated,N,"B. May, AAP; G. Thiel",2000-11-06
4224,2000.11.06.a,06-Nov-00,2000,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth","FATAL, torso bitten, leg severed",Y,"B. May, AAP; G. Thiel",2000-11-06
4223,2000.11.04,04-Nov-00,2000,USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",Both thighs bitten,N,"J. Ramsay, California Fish & Game; R. Collier",2000-11-04
4222,2000.10.29,29-Oct-00,2000,AUSTRALIA,Queensland,Peel Island,"No Injury to occupant, shark holed and sank boat",N,"T. Peake, GSAF",2000-10-29
4221,2000.10.20,20-Oct-00,2000,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",Leg lacerated,N,"Stuart News, 10/21/2000",2000-10-20
4220,2000.10.18,18-Oct-00,2000,USA,Hawaii,Olowalu,Right side of back / torso lacerated,N,GSAF,2000-10-18
4219,2000.10.14,14-Oct-00,2000,USA,Florida,"South Beach, Sebastian, Indian River County",Right hand lacerated,N,"D. Robinson, Vero Beach Press Journal, 10/17/2000, p.A4",2000-10-14
4218,2000.10.09,09-Oct-00,2000,USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County",Foot lacerated,N,"South Florida Sun-Sentinel, 10/11/2000",2000-10-09
4217,2000.10.06.b,06-Oct-00,2000,USA,Florida,"New Smyrna Beach, Volusia County",Fingers lacerated,N,"SharkSurvivor.com; M.I.Johnson, Daytona Beach News Journal, 10/7/2000, p.1A; Daytona News Journal, 10/8/2000, p.4B",2000-10-06
4216,2000.10.06.a,06-Oct-00,2000,USA,Florida,"New Smyrna Beach, Volusia County",Right foot & heel lacerated,N,"S. Petersohn, GSAF; M.I.Johnson, Daytona Beach News Journal, 10/7/2000, p.1A; Bradenton Herald 10/8/2000, ",2000-10-06
4215,2000.10.02,02-Oct-00,2000,USA,North Carolina,"Wrightsville Beach, New Hanover County",Upper left arm lacerated,N,"The State (Columbia), 10/6/2000, p.A6",2000-10-02
4214,2000.09.29,29-Sep-00,2000,USA,California,"Mavericks, Half Moon Bay, San Mateo County",No injury,N,"P. Euwer, Ocean.com; D.W. Cole & M. DesJardins, Santa Cruz Sentinel",2000-09-29
4213,2000.09.25,25-Sep-00,2000,AUSTRALIA,South Australia,"Black Point, Eyre Peninsula",FATAL,Y,"T. Peake, GSAF",2000-09-25
4212,2000.09.24,24-Sep-00,2000,AUSTRALIA,South Australia,Cactus Beach near Penong,FATAL,Y,"T. Peake, GSAF",2000-09-24
4211,2000.09.18,19-Sep-00,2000,AUSTRALIA,New South Wales,Wollongong,Foot lacerated from toe to heel when he tripped on shark during fishing competition PROVOKED INCIDENT,N,Illwara Mercury. 9/19/2000,2000-09-18
4210,2000.09.16.b,16-Sep-00,2000,OKINAWA,Miyako Island,Sunayama Beach,FATAL,Y,M. Shimbun; japanupdate.com,2000-09-16
4209,2000.09.16.a,16-Sep-00,2000,USA,South Carolina,"Isle of Palms, Charleston County",Non-fatal,N,"C. Creswell, GSAF",2000-09-16
4208,2000.09.15,15-Sep-00,2000,USA,Florida,"Fort Pierce Inlet, St Lucie County",Right lower leg & ankle lacerated,N,"SharkSurvivor.com.; The Stuart (FL) News, 9/19/2000",2000-09-15
4207,2000.09.12,12-Sep-00,2000,USA,Florida,"Sebastian Inlet, Indian River or Brevard County",Puncture wounds on knee,N,"SharkSurvivor.com; Florida Today, 9/13/2000",2000-09-12
4206,2000.09.11,11-Sep-00,2000,USA,Florida,"Daytona Beach Shores, Volusia County",Finger lacerated,N,"S. Petersohn, GSAF; Daytona  Beach News Journal, 9/12/2000, p.1.A; Orlando Sentinel, 9/12/2000, p.D2",2000-09-11
4205,2000.09.10.b,10-Sep-00,2000,USA,Florida,"Vero Beach, Indian River County",Minor injury to arm and hand,N,"Fort Pierce Tribune, 9/12/2000",2000-09-10
4204,2000.09.10.a,10-Sep-00,2000,SOUTH AFRICA,Western Cape Province,Dyer Island,Swim fin bitten,N,"E. Ritter, GSAF",2000-09-10
4203,2000.09.08.c,08-Sep-00,2000,TANZANIA,nc.,"Coco Beach, Dar-es-Salaam (Reported as the 5th fatality in 3 months at Coco Beach)",FATAL,Y,E. Matechi; A. Mbogora ,2000-09-08
4202,2000.09.08.b,08-Sep-00,2000,USA,Florida,"New Smyrna Beach, Volusia County",Left foot lacerated,N,"S. Petersohn, GSAF; M. I. Johnson,  Daytona Beach News Journal, 9/19/2000, p.1A; Orlando Sentinel, 9/9/2000 , p.D2",2000-09-08
4201,2000.09.08.a,08-Sep-00,2000,REUNION,Saint-Pierre,Pic du Diable ,Left arm bitten,N,"Clicanoo, le journal  de l'Ile de la Réunion; Northern Territory News, 9/12/2000, p.6",2000-09-08
4200,2000.09.00.b,Early Sep-2000,2000,TANZANIA,nc.,"Coco Beach, Dar-es-Salaam",FATAL,Y,T. Thierry,2000-09-00
4199,2000.08.31,31-Aug-00,2000,USA,Florida,"New Smyrna Beach, Volusia County",Punctures & lacerations on right foot,N,"S. Petersohn, GSAF",2000-08-31
4198,2000.08.30,30-Aug-00,2000,USA,Florida,"Boca Ciega Bay, Tampa, Pinellas County",FATAL,Y,"E. Ritter, GSAF; Charlotte Observer, 9/1/2000, p.4A; Orlando Sentinel, 8/31/2000, p.A19",2000-08-30
4197,2000.08.27.R,Reported 27-Aug-2000,2000,USA,Alaska,Prince William Sound,Leg bitten by netted shark PROVOKED INCIDENT,N,B.A. Wright,2000-08-27
4196,2000.08.21,21-Aug-00,2000,USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County","Severe gash to left hand above wrist, almost severing hand",N,"C. Creswell, GSAF; Wilmington Morning Star; Charlotte Observer, 8/23/2000, p.2B",2000-08-21
4195,2000.08.15,15-Aug-00,2000,USA,Hawaii,"Kanaha Beach, Maui",Left calf lacerated,N,Maui.net,2000-08-15
4194,2000.08.13,13-Aug-00,2000,USA,Florida,"South Jacksonville Beach, Duval County",Minor lacerations to the dorsum of the right foot,N,"Florida Times-Union, 8/14/2000; Orlando Sentinel, 8/15/2000, p.D3",2000-08-13
4193,2000.08.12,12-Aug-00,2000,USA,Florida,"St. Augustine, St. Johns County",Severely bitten on lower leg,N,M. White,2000-08-12
4192,2000.08.11,11-Aug-00,2000,USA,North Carolina,"Emerald Isle, Carteret County",Non-fatal,N, F. Schwartz,2000-08-11
4191,2000.08.10,10-Aug-00,2000,USA,Florida,Florida Keys,Shark involvement probably post-mortem,Y,Press clippings,2000-08-10
4190,2000.08.00,Aug-00,2000,TANZANIA,nc.,"Coco Beach, Dar-es-Salaam",FATAL,Y,T. Thierry,2000-08-00
4189,2000.07.25,25-Jul-00,2000,USA,Florida,"New Smyrna Beach, Volusia County",Minor laceration on left leg,N,"M. Johnson, Daytona Beach News Journal",2000-07-25
4188,2000.07.22,22-Jul-00,2000,USA,Florida,"Big Pine Key, Monroe County ",Leg pinched,N,"E. Ritter, GSAF",2000-07-22
4187,2000.07.17,17-Jul-00,2000,USA,North Carolina,"Oceanic Pier, Wrightsville Beach, New Hanover County",Foot lacerated,N,"C. Creswell, GSAF; Charlotte Observer, 7/20/2000, p.1A & 8/23/2000, p.2B; F. Schwartz, p.23",2000-07-17
4186,2000.07.16.b,16-Jul-00,2000,USA,North Carolina,"Holden Beach, Brunswick County",Minor lacerations on foot,N,"C. Creswell, GSAF; Charlotte Observer, 7/20/2000, p.1A",2000-07-16
4185,2000.07.16.a,16-Jul-00,2000,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Hand lacerated,N,"A. Gifford, GSAF; Orlando Sentinel, 7/19/2000, p.A11  ",2000-07-16
4184,2000.07.15.b,15-Jul-00,2000,SOUTH AFRICA,Eastern Cape Province,Cape Recife,"No injury, flung off board",N,"A. Gifford, GSAF",2000-07-15
4183,2000.07.15.a,15-Jul-00,2000,SOUTH AFRICA,KwaZulu-Natal,South of Durban,No Injury,N,"A. Gifford, GSAF",2000-07-15
4182,2000.07.12,12-Jul-00,2000,TONGA,Minerva Reef,Treated at Nuku-alofa,Left arm bitten,N,www.spearfishingsa.co.za,2000-07-12
4181,2000.07.10,10-Jul-00,2000,USA,Florida,"Daytona  Beach, Volusia County",Minor laceration & 3 punctures to right foot,N,"S. Petersohn, GSAF; M. I. Johnson; H. Frederick, Daytona Beach News Journal, 7/11/2000, p.1A",2000-07-10
4180,2000.07.09,09-Jul-00,2000,USA,Florida,"Neptune Avenue, Ormond Beach, Volusia County",Knee & calf lacerated,N,"S. Petersohn, GSAF: H. Frederick, Daytona Beach News Journal, 7/11/2000, p.1A; Orlando Sentinel, 7/10/2000, p.C3; A. Givens, Orlando Sentinel, 7/11/2000, p.D1",2000-07-09
4179,2000.07.07,07-Jul-00,2000,USA,Texas,"Mustang Island, Corpus Christi",Ankle & foot lacerated,N,"K. Hastings, Dallas Morning News",2000-07-07
4178,2000.07.06,06-Jul-00,2000,USA,North Carolina,"Pine Island, Corolla, Currituck County",Calf lacerated,N,"Charlotte Observer, 7/20/2000, p.1A",2000-07-06
4177,2000.07.04.b,04-Jul-00,2000,USA,Florida,"Daytona Beach, Volusia County",Left inner thigh,N,"S. Petersohn, GSAF",2000-07-04
4176,2000.07.04.a,04-Jul-00,2000,USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County",Lower right calf lacerated,N,"V. Mannix, Bradenton Herald, 8/3/2000, p.1 ",2000-07-04
4175,2000.07.02.b,02-Jul-00,2000,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Left calf & hand lacerated,N,"S. Petersohn, GSAF; M.Guisti, Daytona Beach News Journal, 7/3/2000, p.6C;  Orlando Sentinel, 7/3/2000,p.C3",2000-07-02
4174,2000.07.02.a,02-Jul-00,2000,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Left thigh lacerated,N,"S. Petersohn; M.Guisti, Daytona Beach News Journal, 7/3/2000, p.6C; Orlando Sentinel, 7/3/2000,p.C3",2000-07-02
4173,2000.07.00,Jul-00,2000,TANZANIA,nc.,"Coco Beach, Dar-es-Salaam",FATAL,Y,T. Thierry,2000-07-00
4172,2000.06.30,30-Jun-00,2000,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",FATAL,Y,Squali.org,2000-06-30
4171,2000.06.29,29-Jun-00,2000,NEW ZEALAND,North Island,"Papamoa Beach, Bay of Plenty","No injury, shark bit the dinghy",N,"R. D. Weeks, GSAF",2000-06-29
4170,2000.06.19,19-Jun-00,2000,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",Right ankle lacerated,N,"S. Petersohn, GSAF; M. I. Johnson, Daytona Beach News Journal; Orlando Sentinel, 6/20/2000, p.D3",2000-06-19
4169,2000.06.13,13-Jun-00,2000,USA,Florida,"Pensacola Bay, Escambia County","No injury to occupants, boat's rear platform bitten",N,"Mobile Register 6/14/2000; Charlotte Observer, 6/15/2000, p.8A",2000-06-13
4168,2000.06.10,10-Jun-00,2000,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",Foot lacerated,N,GSAF,2000-06-10
4167,2000.06.09.b,09-Jun-00,2000,USA,Alabama,"Gulf Shores, Baldwin County",Puncture wounds on right hip and arm,N,"Orlando Sentinel, 6/10/2000, p.A20 & 6/11/2000, p.A22; T. Allen, pp.74-75Jun 10, 2000. pg. A.20",2000-06-09
4166,2000.06.09.a,09-Jun-00,2000,USA,Alabama,"Gulf Shores, Baldwin County",Right forearm severed surgically amputated above elbow,N,"Orlando Sentinel, 6/10/2000, p.A20 & 6/11/2000, p.A22; T. Allen, pp.74-75Jun 10, 2000. pg. A.20",2000-06-09
4165,2000.06.02,02-Jun-00,2000,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",Right forearm lacerated,N,"S. Petersohn, GSAF; D. Brannon; M.I. Johnson, Daytona Beach News Journal, 6/3/2000, p.1C",2000-06-02
4164,2000.06.00,Early Jun-2000,2000,TANZANIA,nc.,"Coco Beach in Oyster Bay, 7 km north of Dar-es-Salaam","FATAL, legs severed",Y,T. Thierry,2000-06-00
4163,2000.05.13,13-May-00,2000,NEW CALEDONIA,South Province,Mont Dore,Sharks prevented recovery of remains,Y,"W. Leander; Les Nouvelles Caledoniennes, 5/15/2000",2000-05-13
4162,2000.05.09,09-May-00,2000,AUSTRALIA,Victoria,"Koonya Beach, Melbourne",Probable drowning,Y,"T. Peake, GSAF",2000-05-09
4161,2000.05.07.b,07-May-00,2000,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Left leg & ankle bitten,N,Reuters; Papua New Guinea Post-Courier,2000-05-07
4160,2000.05.07.a,07-May-00,2000,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",FATAL,Y,Reuters; Papua New Guinea Post-Courier,2000-05-07
4159,2000.04.14,14-Apr-00,2000,USA,Florida,"On the south side of Ponce Inlet, Volusia County",Left foot lacerated,N,"Scott Petersohn, GSAF; M. Johnson; Daytona Beach News-Journal, 4/16/2000, p.3B",2000-04-14
4158,2000.04.09,09-Apr-00,2000,USA,Florida,"Municipal Beach, Riviera Beach, Palm Beach County",Puncture marks on right thigh,N,"The Palm Beach Post, 4/11/2000, p.4B  ",2000-04-09
4157,2000.03.31,31-Mar-00,2000,USA,Florida,Santa Rosa Sound Escambia County,"No Injury, bumped by shark",N,"R. Aiden Martin, GSAF; Pensacola News Journal & Orlando Sentinel, 5/9/2000, p.D.5",2000-03-31
4156,2000.03.30,30-Mar-00,2000,AUSTRALIA,Queensland,"Main Beach, Gold Coast",Left calf bitten,N,"T. Peake, GSAF",2000-03-30
4155,2000.03.26,26-Mar-00,2000,USA,Florida,"Juno Beach, Palm Beach County",Right knee lacerated,N,"Stuart News, 3/28/2000; Jupiter Couier, 3/29/2000",2000-03-26
4154,2000.03.24,24-Mar-00,2000,USA,Florida,"Floridana Beach, Brevard County",Left hand bitten,N,"Orlando Sentinel, 3/25/2000, p.D.3 ",2000-03-24
4153,2000.03.15,15-Mar-00,2000,NEW CALEDONIA,North Province,Poum,FATAL,Y,"Les Nouvelles Caledoniennes, 3/16/2000",2000-03-15
4152,2000.03.14,14-Mar-00,2000,AUSTRALIA,New South Wales,"McMasters Beach, Central Coast",No Injury,N,"Sydney Morning Herald, 3/16/2000 ",2000-03-14
4151,2000.03.10,10-Mar-00,2000,AUSTRALIA,New South Wales,Parramatta River,No Injury to occupants,N,"Sydney Morning Herald, ",2000-03-10
4150,2000.03.09,09-Mar-00,2000,AUSTRALIA,New South Wales,Parramatta River,No injury to occupants; oar bitten,N,Sydney Morning Herald,2000-03-09
4149,2000.03.03.R,Reported      03-Mar-2000,2000,NEW ZEALAND,North Island,Between the Kakanui River and Campbell's Bay,Reported as shark attack but probable drowning,Nc.,"R. D. Weeks, GSAF",2000-03-03
4148,2000.03.02,02-Mar-00,2000,AUSTRALIA,New South Wales,"Taronga Wharf, Athol Bay, Sydney Harbor",Survived,N,Sydney Morning Herald,2000-03-02
4147,2000.03.00,Mar-00,2000,USA,Louisiana,Midnight Lump (38 miles offshore),"No injury to diver, speargun damaged",N,"R. Collier, GSAF",2000-03-00
4146,2000.02.21,21-Feb-00,2000,USA,Florida,"Riviera Beach, Palm Beach County",Right calf bitten,N,"The Palm Beach Post, 2/22/2000",2000-02-21
4145,2000.02.19,19-Feb-00,2000,SOUTH AFRICA,Western Cape Province,Struis Bay,Foot bitten,N,"C. Creswell, GSAF",2000-02-19
4144,2000.02.14,14-Feb-00,2000,ENGLAND,Worcestershire,The Fountain Pub in Tenbury Wells,Fingers bitten PROVOKED INCIDENT,N,"The Sun (London), 2/17/2000",2000-02-14
4143,2000.02.03,03-Feb-00,2000,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),"No injury, wetsuit punctured",N,"Waikato Times; Southland Times, 10/23/1999, p.1",2000-02-03
4142,2000.02.01,01-Feb-00,2000,AUSTRALIA,South Australia,"Point Sinclair, Cactus Beach near Penong",Hand bitten,N,"T. Peake, GSAF",2000-02-01
4141,2000.01.28.R,Reported 28-Jan-2000,2000,REUNION,nc.,Saint Pierre,FATAL,Y,B.L. du Vendre,2000-01-28
4140,2000.01.05,05-Jan-00,2000,THAILAND,Phang nga Province,Phang nga Island,FATAL,Y,A. Xuereb,2000-01-05
4139,2000.00.00,2000,2000,USA,Florida,"Boca Grande, Lee County",No injury to occupant; shark bit propeller,N,"B. Stout, News-Press, 7/2/2005",2000-00-00
4138,1999.12.31.c,31-Dec-99,1999,NEW ZEALAND,South Island,Oreti Beach,Six puncture wounds on  leg,N,"R.D. Weeks, GSAF; The Otago Daily Times, 1/2/2000",1999-12-31
4137,1999.12.31.b,31-Dec-99,1999,NEW ZEALAND,South Island,Oreti Beach,Arm bitten,N,"R.D. Weeks, GSAF; The Otago Daily Times, 1/2/2000; Waikato Times, 2/5/2000",1999-12-31
4136,1999.12.31.a,31-Dec-99,1999,NEW ZEALAND,South Island,Oreti Beach,A cut on her hand,N,"R.D. Weeks, GSAF; The Otago Daily Times, 1/2/2000",1999-12-31
4135,1999.12.26,26-Dec-99,1999,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife","Leg bitten, surgically amputated",N,"L. A. Pereira & J. Morris; JC, 12/27/1999",1999-12-26
4134,1999.12.14,14-Dec-99,1999,USA,California,"Off Ventura, Anacapa & Santa Cruz Islands","Presumed taken by a shark,  but forensic evidence suggested otherwise.",Y,R. Collier,1999-12-14
4133,1999.12.06,06-Dec-99,1999,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay",Lateral right thigh bitten,N,L. A. Pereira ,1999-12-06
4132,1999.12.02,02-Dec-99,1999,USA,Florida,"Boynton Beach, Palm Beach County",Right arm & fingers lacerated,N,"The Palm Beach Post,12/3/1999 ",1999-12-02
4131,1999.11.30,30-Nov-99,1999,USA,Florida,"Palm Beach, Palm Beach County",Lacerations to hand & wrist,N,"A. Brenneka, Shark Attack Survivors; The Palm Beach Post,12/3/1999 ",1999-11-30
4130,1999.11.23,23-Nov-99,1999,USA,Hawaii,"Big Island off Kona Village Resort, North Kona","Buttock bitten, hands lacerated",N,"G. Kubota, Star Bulletin",1999-11-23
4129,1999.11.15,15-Nov-99,1999,USA,California,"Waddell Reef, Santa Cruz County","No injury, board bitten",N,"R. Collier, pp.166-167",1999-11-15
4128,1999.11.13,13-Nov-99,1999,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Lower legs lacerated,N,"G. Cliff, NSB",1999-11-13
4127,1999.11.06,06-Nov-99,1999,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay",Upper right thigh bitten,N,O. Gadig,1999-11-06
4126,1999.11.00.b,Nov-99,1999,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,Lacerations to leg,N,www.svcherokee.com/pages/ Ailingilaplap.htm,1999-11-00
4125,1999.11.00.a,Nov-99,1999,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,Lacerations to buttocks,N,www.svcherokee.com/pages/ Ailingilaplap.htm,1999-11-00
4124,1999.10.30.b,30-Oct-99,1999,USA,Florida,"Daytona Beach, Volusia County",Right foot lacerated,N,"S. Petersohn, GSAF",1999-10-30
